,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE
478,3.3512984129961576,0.49247670731999166,6.361302477572996,0.0,6.361302477572996,0.0,0.5108258237659706,0.0,0.5108258237659706,0.0,0.0,2.1972245773362196,8.517393171418904,6.660578345737268,5.039764256397032,0.6931471805599453,2.5649493574615367
112,7.506835968386316,0.6931471805599453,0.0,0.0,0.0,5.2899573739862875,0.0,0.0,0.0,0.2876818224517498,1.6094379124341003,0.0,7.824445930877619,6.352456336049334,6.154378720111751,0.0,2.5649493574615367
2382,7.336477212358016,0.6931471805599453,8.781051723524937,8.11489306945123,8.060483208800893,0.0,0.6931471805599453,0.22314355131420976,0.6931471805599453,0.0,0.0,3.8066624897703196,8.699681400989514,8.508152701456286,5.940230377288329,0.0,2.5649493574615367
2685,6.9794901271461205,0.5978371007556155,6.716316284383281,5.937034760118698,6.104703942714493,7.10290706524244,0.5108258237659706,0.3483069295623057,0.4054651081081644,0.2876818224517498,1.9459101490553132,3.258096538021482,7.496097345175956,6.283627766083456,6.794718394137238,0.0,2.5649493574615367
161,7.892952706736899,0.6931471805599453,7.275788473081437,7.13625247393805,5.242698942785024,0.0,0.6061356217521172,0.5596157879354227,0.4054651081081644,0.0,0.0,3.58351893845611,8.987321812850125,6.562666026691889,6.540448857776966,0.0,2.5649493574615367
2782,4.429660130159932,0.5465438642627942,6.067105272566398,0.0,6.067105272566398,0.0,0.4054651081081644,0.0,0.3483069295623057,0.0,0.0,2.3978952727983707,7.824445930877619,5.755979533525573,4.486668096874722,0.08004239998118148,2.5649493574615367
4058,6.5995452191041135,0.6931471805599453,5.920934780917455,0.0,5.920934780917455,0.0,0.4054651081081644,0.0,0.4054651081081644,0.0,0.0,2.4849066497880004,8.006700845440367,6.554292274097178,5.355276511646399,0.0,2.5649493574615367
3277,7.971482249476325,0.6931471805599453,5.777063914850281,4.780467127845082,5.321301202938412,7.56340702639697,0.4054651081081644,0.15415096554150312,0.22314355131420976,0.2876818224517498,1.6094379124341003,2.302585092994046,8.160803920954665,6.398338895104335,7.2734043475387535,0.0,2.5649493574615367
2990,4.0218292441981385,0.49247670731999166,6.138417960064145,0.0,6.138417960064145,0.0,0.45953211885210227,0.0,0.4054651081081644,0.0,0.0,2.1972245773362196,8.517393171418904,6.0490480033823735,4.419599223589318,0.37469313694136186,2.5649493574615367
2323,7.281983283996094,0.6931471805599453,4.546905277856116,0.0,4.546905277856116,0.0,0.2876818224517498,0.0,0.2876818224517498,0.0,0.0,1.6094379124341003,7.313886831633462,5.89338466872727,6.903981894713788,0.0,2.5649493574615367
1194,7.559505158940015,0.6931471805599453,5.656236536116929,5.656236536116929,0.0,8.713723141229783,0.31015466163713734,0.31015466163713734,0.0,0.7375988996525172,3.367295829986474,1.9459101490553132,8.006700845440367,8.647112592420907,6.323372158446122,0.0,2.5649493574615367
3838,8.847557748362977,0.6931471805599453,9.350270995776004,8.036576643854735,9.0372873294929,9.624734307862703,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,3.8918202981106265,5.733341276897746,9.546884034617925,9.9096189893007,7.388955104994434,0.15415096554150312,2.5649493574615367
2366,3.3412425792166305,0.37469313694136186,5.75984769858915,5.75984769858915,0.0,0.0,0.15415096554150312,0.15415096554150312,0.0,0.0,0.0,1.0986122886681098,7.824445930877619,5.748665622717658,4.064131595895213,0.09531017980432493,2.5649493574615367
2385,6.812735174301955,0.6931471805599453,5.448244855530987,0.0,5.448244855530987,6.85137899754982,0.6931471805599453,0.0,0.6190392853292974,0.1335312676245148,1.3862943611198906,2.0794415416798357,6.90875477931522,5.093599023735913,6.8363828024079965,0.0,2.5649493574615367
2762,7.397797769260823,0.6931471805599453,0.0,0.0,0.0,7.47112168568817,0.0,0.0,0.0,0.08004239998118148,1.3862943611198906,0.0,8.160803920954665,5.989754187776999,6.340905380350328,0.0,2.5649493574615367
3059,8.71028589672082,0.6931471805599453,8.291047638601153,8.169687509585218,6.12417998192946,7.934607875256314,0.6061356217521172,0.3483069295623057,0.5596157879354227,0.3483069295623057,2.6390573296152584,3.258096538021482,8.922791623969637,7.2613568080160835,7.367942738768412,0.0,2.5649493574615367
3404,8.398301839704455,0.6931471805599453,6.384924548088715,4.7019338544204,6.181423531031148,6.337472299067496,0.49247670731999166,0.16705393081700054,0.37469313694136186,0.24116184253115078,1.3862943611198906,2.4849066497880004,9.741027444837728,8.622201897016161,6.998953640472454,0.0,2.5649493574615367
283,8.679519276390703,0.5108258237659706,0.0,0.0,0.0,9.267798680898661,0.0,0.0,0.0,0.15415096554150312,0.6931471805599453,0.0,9.350189267092581,7.511655405834084,7.5771432445256295,0.0,2.5649493574615367
4164,3.364926888327541,0.4054651081081644,5.138148614395216,0.0,5.138148614395216,0.0,0.3364722366212129,0.0,0.1823215567939546,0.0,0.0,1.791759469228055,7.313886831633462,4.764353054517321,4.984252255707597,0.0,2.5649493574615367
1312,2.0001795604101122,0.6931471805599453,4.390242789445222,0.0,4.390242789445222,0.0,0.6931471805599453,0.0,0.6931471805599453,0.0,0.0,2.5649493574615367,7.313886831633462,4.3424576048653964,4.343386399010938,0.0,2.5649493574615367
2736,8.480144905409402,0.6931471805599453,0.0,0.0,0.0,8.939447098426317,0.0,0.0,0.0,0.5108258237659706,2.833213344056216,0.0,8.987321812850125,8.245802836235645,7.879975937014155,0.0,2.5649493574615367
3473,3.294007935270414,0.49247670731999166,5.447814377693948,0.0,5.447814377693948,0.0,0.5108258237659706,0.0,0.45953211885210227,0.0,0.0,2.70805020110221,8.294299608857235,5.347657874488646,4.563320830579984,0.08701129365629287,2.5649493574615367
1475,6.823533349681503,0.6931471805599453,0.0,0.0,0.0,6.7696283797451375,0.0,0.0,0.0,0.08004239998118148,1.9459101490553132,0.0,7.0909098220799835,6.7823791586833995,7.570167443922714,0.0,2.5649493574615367
2089,5.898371469465276,0.6931471805599453,7.586144088566537,7.307336443931327,6.174827228410347,0.0,0.6505877400541776,0.5596157879354227,0.6061356217521172,0.0,0.0,3.871201010907891,7.0909098220799835,7.2653484758975315,5.307862238976422,0.26236426446749106,2.5649493574615367
3658,5.802831380946899,0.49247670731999166,0.0,0.0,0.0,6.836753015733371,0.0,0.0,0.0,0.08004239998118148,0.6931471805599453,0.0,8.77971129020447,7.625587092588423,5.789602079267162,0.1823215567939546,2.5649493574615367
